date,state,cases,cases_perc,cases_daybefore,cases_ln,cases_daybefore_ln,log_dif
2020-03-17,Alabama,39,34.48275862068966,29,3.6635616461296463,3.367295829986474,0.29626581614317216
2020-03-18,Alabama,51,30.76923076923077,39,3.9318256327243257,3.6635616461296463,0.2682639865946794
2020-03-19,Alabama,78,52.94117647058824,51,4.356708826689592,3.9318256327243257,0.42488319396526597
2020-03-20,Alabama,106,35.8974358974359,78,4.663439094112067,4.356708826689592,0.3067302674224752
2020-03-21,Alabama,131,23.58490566037736,106,4.875197323201151,4.663439094112067,0.21175822908908426
2020-03-22,Alabama,157,19.84732824427481,131,5.056245805348308,4.875197323201151,0.18104848214715652
2020-03-23,Alabama,196,24.840764331210192,157,5.278114659230517,5.056245805348308,0.22186885388220912
2020-03-24,Alabama,242,23.46938775510204,196,5.488937726156687,5.278114659230517,0.21082306692616992
2020-03-25,Alabama,386,59.50413223140496,242,5.955837369464831,5.488937726156687,0.46689964330814426
2020-03-26,Alabama,538,39.37823834196891,386,6.2878585601617845,5.955837369464831,0.33202119069695346
2020-03-27,Alabama,639,18.773234200743495,538,6.459904454377535,6.2878585601617845,0.17204589421575012
2020-03-28,Alabama,720,12.676056338028168,639,6.579251212010101,6.459904454377535,0.11934675763256664
2020-03-29,Alabama,830,15.277777777777779,720,6.721425700790643,6.579251212010101,0.14217448878054206
2020-03-30,Alabama,947,14.096385542168674,830,6.853299093186078,6.721425700790643,0.13187339239543494
2020-03-23,Alaska,36,63.63636363636363,22,3.58351893845611,3.091042453358316,0.49247648509779385
2020-03-24,Alaska,42,16.666666666666664,36,3.7376696182833684,3.58351893845611,0.1541506798272585
2020-03-25,Alaska,59,40.476190476190474,42,4.07753744390572,3.7376696182833684,0.3398678256223513
2020-03-26,Alaska,69,16.94915254237288,59,4.23410650459726,4.07753744390572,0.15656906069153997
2020-03-27,Alaska,85,23.18840579710145,69,4.442651256490317,4.23410650459726,0.208544751893057
2020-03-28,Alaska,102,20,85,4.624972813284271,4.442651256490317,0.182321556793954
2020-03-29,Alaska,114,11.76470588235294,102,4.736198448394496,4.624972813284271,0.11122563511022499
2020-03-30,Alaska,120,5.263157894736842,114,4.787491742782046,4.736198448394496,0.05129329438755015
2020-03-19,Arizona,47,67.85714285714286,28,3.8501476017100584,3.332204510175204,0.5179430915348546
2020-03-20,Arizona,70,48.93617021276596,47,4.248495242049359,3.8501476017100584,0.3983476403393009
2020-03-21,Arizona,104,48.57142857142857,70,4.6443908991413725,4.248495242049359,0.39589565709201313
2020-03-22,Arizona,153,47.11538461538461,104,5.030437921392435,4.6443908991413725,0.3860470222510628
2020-03-23,Arizona,234,52.94117647058824,153,5.455321115357702,5.030437921392435,0.4248831939652664
