state,date,cases,cases_perc,cases_daybefore,cases_ln,cases_daybefore_ln,log_dif,date_lockdown,measure,date_lockdown_filled,time_to_lockdown,post_intervention
Nebraska,2020-03-15,31,6.896551724137931,29,3.4339872044851463,3.367295829986474,0.06669137449867213,NA,NA,2020-03-30,-15,0
Nebraska,2020-03-16,33,6.451612903225806,31,3.4965075614664802,3.4339872044851463,0.06252035698133396,NA,NA,2020-03-30,-14,0
Nebraska,2020-03-17,36,9.090909090909092,33,3.58351893845611,3.4965075614664802,0.08701137698962969,NA,NA,2020-03-30,-13,0
Nebraska,2020-03-18,43,19.444444444444446,36,3.7612001156935624,3.58351893845611,0.17768117723745247,NA,NA,2020-03-30,-12,0
Nebraska,2020-03-19,47,9.30232558139535,43,3.8501476017100584,3.7612001156935624,0.08894748601649605,NA,NA,2020-03-30,-11,0
Nebraska,2020-03-20,53,12.76595744680851,47,3.970291913552122,3.8501476017100584,0.12014431184206353,NA,NA,2020-03-30,-10,0
Nebraska,2020-03-21,61,15.09433962264151,53,4.110873864173311,3.970291913552122,0.1405819506211894,NA,NA,2020-03-30,-9,0
Nebraska,2020-03-22,62,1.639344262295082,61,4.127134385045092,4.110873864173311,0.016260520871780315,NA,NA,2020-03-30,-8,0
Nebraska,2020-03-23,73,17.741935483870968,62,4.290459441148391,4.127134385045092,0.16332505610329928,NA,NA,2020-03-30,-7,0
Nebraska,2020-03-24,77,5.47945205479452,73,4.343805421853684,4.290459441148391,0.05334598070529317,NA,NA,2020-03-30,-6,0
Nebraska,2020-03-25,84,9.090909090909092,77,4.430816798843313,4.343805421853684,0.08701137698962924,NA,NA,2020-03-30,-5,0
Nebraska,2020-03-26,91,8.333333333333332,84,4.51085950651685,4.430816798843313,0.08004270767353638,NA,NA,2020-03-30,-4,0
Nebraska,2020-03-27,102,12.087912087912088,91,4.624972813284271,4.51085950651685,0.11411330676742093,NA,NA,2020-03-30,-3,0
Nebraska,2020-03-28,122,19.607843137254903,102,4.804021044733257,4.624972813284271,0.17904823144898607,NA,NA,2020-03-30,-2,0
Nebraska,2020-03-29,138,13.114754098360656,122,4.927253685157205,4.804021044733257,0.12323264042394833,NA,NA,2020-03-30,-1,0
Nebraska,2020-03-30,185,34.05797101449276,138,5.220355825078324,4.927253685157205,0.29310213992111933,NA,NA,2020-03-30,0,0
Minnesota,2020-03-15,35,66.66666666666666,21,3.5553480614894135,3.044522437723423,0.5108256237659905,2020-03-27,restrictions on internal movement,2020-03-27,-12,0
Minnesota,2020-03-16,54,54.285714285714285,35,3.9889840465642745,3.5553480614894135,0.433635985074861,2020-03-27,restrictions on internal movement,2020-03-27,-11,0
Minnesota,2020-03-17,60,11.11111111111111,54,4.0943445622221,3.9889840465642745,0.10536051565782589,2020-03-27,restrictions on internal movement,2020-03-27,-10,0
Minnesota,2020-03-18,77,28.333333333333332,60,4.343805421853684,4.0943445622221,0.2494608596315837,2020-03-27,restrictions on internal movement,2020-03-27,-9,0
Minnesota,2020-03-19,89,15.584415584415584,77,4.48863636973214,4.343805421853684,0.14483094787845552,2020-03-27,restrictions on internal movement,2020-03-27,-8,0
Minnesota,2020-03-20,115,29.213483146067414,89,4.74493212836325,4.48863636973214,0.25629575863111054,2020-03-27,restrictions on internal movement,2020-03-27,-7,0
